L_CODE,E_CODE,E_NAME,DEM_NO,DEM_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,N1,N2,N3,N4,N5,N6,N7,N8,N9,D_LOCK,YN,JOB_NO,JOB_DT,CTRL_NO,CTRL_DT,OPT,DEM,FULL_RECD,PART_RECD,OUTS,PER_RECD,DEP_DELE,IN_IIL,IN_CVIL,CRITICAL,CTRL_NA,VED,VED_FULL,VED_PART,VED_OUTS,VED_PER,VED_DELE,VED_IIL,VED_CVIL,VED_CRI,VED_CTRLNA,CONS_FM,CONS_TO,CONS_EQPT,LAST_SOUPD,DEMD,FULL_RECDD,PART_RECDD,OUTSD,DEP_DELED,IN_IILD,IN_CVILD,CRITICALD,CTRL_NAD,VEDD,VED_FULLD,VED_PARTD,VED_OUTSD,VED_DELED,VED_IILD,VED_CVILD,VED_CRID,VED_CTLNAD
33,33,MG 605 CH,29,2004-07-15,,,2004-2005,SPD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Y,,,,,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,30,2004-07-16,,,2004-2005,SPD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Y,,,,,0,2,0,0,2,0.0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
37,38,D80-A12 ENG,38,2004-08-21,,,2004-2004,SPD,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,Y,,,,,0,21,0,0,21,0.0,0,0,0,0,21,6,0,0,6,0.0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,
54,54,AIR COMP,39,2004-08-28,,,2004-2005,SPD,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,,Y,,,,,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
45,45,P4ENG,40,2004-08-28,,,2004-2005,SPD,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,,Y,,,,,0,36,0,0,36,0.0,0,0,0,0,36,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,51,2004-09-13,,,2004-2005,SPD,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,,Y,,,,,0,19,0,0,19,0.0,0,0,0,0,19,11,0,0,11,0.0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,52,2004-09-15,,,2003-2004,SPD,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,,Y,,,,,0,12,0,0,12,0.0,0,0,0,0,12,2,0,0,2,0.0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,
43,43,G14D1 CH,56,2004-09-29,,,2004-2005,SPD,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,Y,,,,,0,21,0,0,21,0.0,0,0,0,0,21,3,0,0,3,0.0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,62,2004-11-19,,,2004-2005,SPD,52.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,,Y,,,,,0,52,0,0,52,0.0,0,0,0,0,52,30,0,0,30,0.0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH,64,2004-11-25,,,2004-2005,SPD,19.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,5.26,,Y,,,,,0,19,1,0,18,5.26,0,0,0,0,19,8,0,0,8,0.0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,
